
----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message
1072,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
2875,ERROR,ControlTask,ControlTask time, 0
2877,ERROR,GNSSTask,Waiting for first fix before sending VALSET...
2878,ERROR,GNSSTask,GNSS checkUblox time, 1
2878,ERROR,NavTask,NavigationTask time, 0
2880,ERROR,GGATask,GGATask time, 1
2925,ERROR,ControlTask,ControlTask time, 0
2928,ERROR,NavTask,NavigationTask time, 0
2975,ERROR,ControlTask,ControlTask time, 0
2979,ERROR,GNSSTask,GNSS checkUblox time, 1
2979,ERROR,NavTask,NavigationTask time, 0
3025,ERROR,ControlTask,ControlTask time, 0
3028,ERROR,NavTask,NavigationTask time, 0
3075,ERROR,ControlTask,ControlTask time, 0
3078,ERROR,NavTask,NavigationTask time, 0
3080,ERROR,GNSSTask,GNSS checkUblox time, 1
3125,ERROR,ControlTask,ControlTask time, 0
3128,ERROR,NavTask,NavigationTask time, 0
3175,ERROR,ControlTask,ControlTask time, 0
3178,ERROR,NavTask,NavigationTask time, 0
3181,ERROR,GNSSTask,GNSS checkUblox time, 1
3225,ERROR,ControlTask,ControlTask time, 0
3228,ERROR,NavTask,NavigationTask time, 0
3275,ERROR,ControlTask,ControlTask time, 0
3278,ERROR,NavTask,NavigationTask time, 0
3282,ERROR,GNSSTask,GNSS checkUblox time, 1
3325,ERROR,ControlTask,ControlTask time, 0
3328,ERROR,NavTask,NavigationTask time, 0
3375,ERROR,ControlTask,ControlTask time, 0
3378,ERROR,NavTask,NavigationTask time, 0
3383,ERROR,GNSSTask,GNSS checkUblox time, 1
3425,ERROR,ControlTask,ControlTask time, 0
3428,ERROR,NavTask,NavigationTask time, 0
3475,ERROR,ControlTask,ControlTask time, 0
3478,ERROR,NavTask,NavigationTask time, 0
3484,ERROR,GNSSTask,GNSS checkUblox time, 1
3525,ERROR,ControlTask,ControlTask time, 0
3528,ERROR,NavTask,NavigationTask time, 0
3575,ERROR,ControlTask,ControlTask time, 0
3578,ERROR,NavTask,NavigationTask time, 0
3585,ERROR,GNSSTask,GNSS checkUblox time, 1
3625,ERROR,ControlTask,ControlTask time, 0
3628,ERROR,NavTask,NavigationTask time, 0
3676,ERROR,ControlTask,ControlTask time, 1
3678,ERROR,NavTask,NavigationTask time, 0
3686,ERROR,GNSSTask,GNSS checkUblox time, 1
3725,ERROR,ControlTask,ControlTask time, 0
3728,ERROR,NavTask,NavigationTask time, 0
3775,ERROR,ControlTask,ControlTask time, 0
3782,ERROR,NavTask,NavigationTask time, 0
3788,ERROR,GNSSTask,GNSS checkUblox time, 1
3825,ERROR,ControlTask,ControlTask time, 0
3828,ERROR,NavTask,NavigationTask time, 0
3875,ERROR,ControlTask,ControlTask time, 0
3878,ERROR,NavTask,NavigationTask time, 0
3880,ERROR,GGATask,GGATask time, 1
3889,ERROR,GNSSTask,GNSS checkUblox time, 1
3925,ERROR,ControlTask,ControlTask time, 0
3928,ERROR,NavTask,NavigationTask time, 0
