
----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message
1073,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
2876,ERROR,ControlTask,ControlTask time, 0
2878,ERROR,GNSSTask,Waiting for first fix before sending VALSET...
2879,ERROR,GNSSTask,GNSS checkUblox time, 1
2879,ERROR,NavTask,NavigationTask started, running at 10 Hz
2880,ERROR,NavTask,NavigationTask time, 0
2881,ERROR,GGATask,GGATask time, 1
2976,ERROR,ControlTask,ControlTask time, 0
2980,ERROR,GNSSTask,GNSS checkUblox time, 1
2980,ERROR,NavTask,NavigationTask time, 0
3076,ERROR,ControlTask,ControlTask time, 0
3079,ERROR,NavTask,NavigationTask time, 0
3081,ERROR,GNSSTask,GNSS checkUblox time, 1
3176,ERROR,ControlTask,ControlTask time, 0
3179,ERROR,NavTask,NavigationTask time, 0
3182,ERROR,GNSSTask,GNSS checkUblox time, 1
3276,ERROR,ControlTask,ControlTask time, 0
3279,ERROR,NavTask,NavigationTask time, 0
3283,ERROR,GNSSTask,GNSS checkUblox time, 1
3376,ERROR,ControlTask,ControlTask time, 0
3379,ERROR,NavTask,NavigationTask time, 0
3384,ERROR,GNSSTask,GNSS checkUblox time, 1
3477,ERROR,ControlTask,ControlTask time, 0
3479,ERROR,NavTask,NavigationTask time, 0
3488,ERROR,GNSSTask,GNSS checkUblox time, 4
3577,ERROR,ControlTask,ControlTask time, 1
3579,ERROR,NavTask,NavigationTask time, 0
3589,ERROR,GNSSTask,GNSS checkUblox time, 1
3676,ERROR,ControlTask,ControlTask time, 0
3679,ERROR,NavTask,NavigationTask time, 0
3690,ERROR,GNSSTask,GNSS checkUblox time, 1
3776,ERROR,ControlTask,ControlTask time, 0
3779,ERROR,NavTask,NavigationTask time, 0
3791,ERROR,GNSSTask,GNSS checkUblox time, 1
3876,ERROR,ControlTask,ControlTask time, 0
3879,ERROR,NavTask,NavigationTask time, 0
3881,ERROR,GGATask,GGATask time, 1
3892,ERROR,GNSSTask,GNSS checkUblox time, 1
3976,ERROR,ControlTask,ControlTask time, 0
3979,ERROR,NavTask,NavigationTask time, 0
3994,ERROR,GNSSTask,GNSS checkUblox time, 1
4076,ERROR,ControlTask,ControlTask time, 0
4079,ERROR,NavTask,NavigationTask time, 0
4095,ERROR,GNSSTask,GNSS checkUblox time, 1
4176,ERROR,ControlTask,ControlTask time, 0
4179,ERROR,NavTask,NavigationTask time, 0
4196,ERROR,GNSSTask,GNSS checkUblox time, 1
4276,ERROR,ControlTask,ControlTask time, 0
4279,ERROR,NavTask,NavigationTask time, 0
4297,ERROR,GNSSTask,GNSS checkUblox time, 1
4376,ERROR,ControlTask,ControlTask time, 0
4379,ERROR,NavTask,NavigationTask time, 0
4398,ERROR,GNSSTask,GNSS checkUblox time, 1
4476,ERROR,ControlTask,ControlTask time, 0
4479,ERROR,NavTask,NavigationTask time, 0
