Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,1007,0
Session 1,ControlTask time,NAV,0,1,0.01,0.0,1007,10
Session 1,GNSS checkCallbacks time,NAV,1,36,8.0,1.0,5,40
Session 1,GNSS checkUblox time,NAV,1,76,1.33,1.0,464,619
Session 1,GNSSTask time,NAV,1,158,64.31,77.0,1008,64821
Session 1,pushRawData time,NAV,0,1,0.59,1.0,456,271
Session 1,processRTKConnection time,NAV,0,11,5.54,6.0,456,2528
Session 1,generateGGA time,NAV,1,2,1.01,1.0,201,203
Session 1,GGATask time,NAV,16,135,66.6,72.0,201,13386
Session 1,NavigationTask time,NAV,0,0,0.0,0.0,217,0
