
----- New Logging Session Started -----
Timestamp,Level,Task,Message
2010,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
2812,DEBUG,WebSocketTask,sendGPSData time, 0
2921,DEBUG,GNSSTask,GNSS module found!
3315,DEBUG,WebSocketTask,sendGPSData time, 1
3815,DEBUG,WebSocketTask,sendGPSData time, 0
4318,DEBUG,WebSocketTask,sendGPSData time, 0
4588,DEBUG,GNSSTask,IMU sensor fusion disabled.
4776,DEBUG,GNSSTask,GNSS checkUblox time, 65
4776,DEBUG,GNSSTask,GNSS checkCallbacks time, 65
4818,DEBUG,WebSocketTask,sendGPSData time, 0
4876,DEBUG,GNSSTask,GNSS checkUblox time, 65
4877,DEBUG,GNSSTask,GNSS checkCallbacks time, 66
4976,DEBUG,GNSSTask,GNSS checkUblox time, 65
4976,DEBUG,GNSSTask,GNSS checkCallbacks time, 65
5009,NAV,WebSocketTask,WebSocket disconnected. Will attempt to maintain navigation state.
5074,DEBUG,GNSSTask,GNSS checkUblox time, 63
5075,DEBUG,GNSSTask,GNSS checkCallbacks time, 64
5321,DEBUG,WebSocketTask,sendGPSData time, 1
5827,DEBUG,WebSocketTask,sendGPSData time, 1
5940,DEBUG,GNSSTask,GNSS checkUblox time, 379
5940,DEBUG,GNSSTask,GNSS checkCallbacks time, 379
6196,DEBUG,GNSSTask,GNSS checkUblox time, 256
6196,DEBUG,GNSSTask,GNSS checkCallbacks time, 256
6323,DEBUG,GNSSTask,GNSS checkUblox time, 127
6323,DEBUG,GNSSTask,GNSS checkCallbacks time, 127
6328,DEBUG,WebSocketTask,sendGPSData time, 1
6387,DEBUG,GNSSTask,GNSS checkUblox time, 64
6387,DEBUG,GNSSTask,GNSS checkCallbacks time, 64
6453,DEBUG,GNSSTask,GNSS checkUblox time, 66
6453,DEBUG,GNSSTask,GNSS checkCallbacks time, 66
6518,DEBUG,GNSSTask,GNSS checkUblox time, 65
6518,DEBUG,GNSSTask,GNSS checkCallbacks time, 65
6679,DEBUG,GNSSTask,GNSS checkUblox time, 68
