
----- New Logging Session Started -----
Timestamp,Level,Task,Message
1949,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
1949,DEBUG,loopTask,Connecting to WiFi network: Galaxy XCover FieldPro8858
2549,DEBUG,loopTask,Connected to WiFi: Galaxy XCover FieldPro8858, IP: 192.168.162.141
2550,DEBUG,loopTask,Navigation system initialized successfully
2550,DEBUG,loopTask,currentLogLevel: DEBUG
3551,DEBUG,loopTask,STARTING initRTOS
3753,DEBUG,loopTask,Servos initialized
3753,DEBUG,GNSSTask,STARTING initializeGNSS
3754,DEBUG,WebSocketTask,sendGPSData time, 0
3755,DEBUG,loopTask,RTOS tasks created
3968,DEBUG,GNSSTask,GNSS module found over SPI!
4256,DEBUG,WebSocketTask,sendGPSData time, 0
4757,DEBUG,WebSocketTask,sendGPSData time, 0
5007,NAV,WebSocketTask,WebSocket disconnected. Will attempt to maintain navigation state.
5258,DEBUG,WebSocketTask,sendGPSData time, 0
5759,DEBUG,WebSocketTask,sendGPSData time, 0
5910,DEBUG,GNSSTask,IMU sensor fusion disabled.
5919,DEBUG,GNSSTask,GNSS checkUblox time, 9
5919,DEBUG,GNSSTask,GNSS checkCallbacks time, 9
6263,DEBUG,WebSocketTask,sendGPSData time, 0
6340,DEBUG,GNSSTask,connectionResult = 200, macorsrtk.massdot.state.ma.us
6375,DEBUG,GNSSTask,GNSS checkUblox time, 35
6376,DEBUG,GNSSTask,GNSS checkCallbacks time, 36
6424,DEBUG,GNSSTask,pushRawData time, 9
6434,DEBUG,GNSSTask,GNSS checkUblox time, 10
6434,DEBUG,GNSSTask,GNSS checkCallbacks time, 10
6478,DEBUG,GNSSTask,pushRawData time, 11
6487,DEBUG,GNSSTask,GNSS checkUblox time, 9
6487,DEBUG,GNSSTask,GNSS checkCallbacks time, 9
6497,DEBUG,GNSSTask,GNSS checkUblox time, 10
6497,DEBUG,GNSSTask,GNSS checkCallbacks time, 10
6506,DEBUG,GNSSTask,GNSS checkUblox time, 9
6506,DEBUG,GNSSTask,GNSS checkCallbacks time, 9
6515,DEBUG,GNSSTask,GNSS checkUblox time, 9
6515,DEBUG,GNSSTask,GNSS checkCallbacks time, 9
6524,DEBUG,GNSSTask,GNSS checkUblox time, 9
6524,DEBUG,GNSSTask,GNSS checkCallbacks time, 9
6533,DEBUG,GNSSTask,GNSS checkUblox time, 9
6533,DEBUG,GNSSTask,GNSS checkCallbacks time, 9
6539,DEBUG,GNSSTask,GNSS checkUblox time, 6
6539,DEBUG,GNSSTask,GNSS checkCallbacks time, 6
6549,DEBUG,GNSSTask,GNSS checkUblox time, 10
6549,DEBUG,GNSSTask,GNSS checkCallbacks time, 10
