Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,550,0
Session 1,position-control latency time,NAV,1,598,123.42,96.0,550,67882
Session 1,ControlTask time,ERROR,0,136,66.08,56.0,549,36278
Session 1,NavigationTask time,ERROR,0,5,0.62,0.0,8,5
Session 1,GNSS checkCallbacks time,ERROR,1,2,1.02,1.0,162,165
Session 1,GNSS checkUblox time,ERROR,1,203,59.09,43.0,179,10577
Session 1,GNSSTask time,ERROR,2,372,153.18,160.5,158,24202
Session 1,GGATask time,ERROR,1,6,4.61,5.0,23,106
Session 1,pushRawData time,ERROR,8,77,28.5,26.0,38,1083
Session 1,WebSocketTask time,ERROR,61,61,61.0,61.0,1,61
