Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,GNSS checkCallbacks time,ERROR,1,8,1.18,1.0,197,232
Session 1,GNSS checkUblox time,ERROR,1,9,2.28,2.0,256,583
Session 1,GNSSTask time,ERROR,1,89,5.71,3.0,265,1513
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,265,0
Session 1,ControlTask time,ERROR,0,0,0.0,0.0,265,0
Session 1,NavigationTask time,ERROR,0,0,0.0,0.0,265,0
Session 1,GGATask time,ERROR,6,52,9.11,8.0,27,246
Session 1,pushRawData time,ERROR,22,83,27.93,26.0,27,754
Session 2,GNSS checkCallbacks time,ERROR,1,9,1.38,1.0,344,474
Session 2,GNSS checkUblox time,ERROR,1,11,2.42,2.0,480,1164
Session 2,GNSSTask time,ERROR,1,79,6.08,3.0,493,2995
Session 2,ControlTask loop beginning,NAV,0,0,0.0,0.0,493,0
Session 2,ControlTask time,ERROR,0,0,0.0,0.0,493,0
Session 2,NavigationTask time,ERROR,0,0,0.0,0.0,492,0
Session 2,GGATask time,ERROR,5,12,7.66,8.0,50,383
Session 2,pushRawData time,ERROR,21,77,28.57,26.0,51,1457
